	1h	1h	
		1h	
14.466933683	1219.2	0.0577915376676987	1016
14.493194248	1296	0.123839009287926	1080
14.519454814	1250.4	0.0846233230134159	1042
14.545715379	1292.4	0.120743034055728	1077
14.571975944	1246.8	0.0815273477812177	1039
14.598236509	1305.6	0.132094943240454	1088
14.624497074	1312.8	0.13828689370485	1094
14.650757639	1224	0.0619195046439628	1020
14.677018204	1282.8	0.112487100103199	1069
14.703278769	1335.6	0.157894736842105	1113
14.729539334	1260	0.0928792569659443	1050
14.755799899	1353.6	0.173374613003096	1128
14.782060464	1159.2	0.00619195046439628	966
14.808321029	1279.2	0.109391124871001	1066
14.834581594	1306.8	0.13312693498452	1089
14.860842159	1275.6	0.106295149638803	1063
14.887102724	1227.6	0.065015479876161	1023
14.913363289	1327.2	0.150670794633643	1106
14.939623854	1249.2	0.0835913312693498	1041
14.965884419	1202.4	0.043343653250774	1002
14.992144984	1227.6	0.065015479876161	1023
15.018405549	1305.6	0.132094943240454	1088
15.044666114	1309.2	0.135190918472652	1091
15.070926679	1267.2	0.0990712074303405	1056
15.097187244	1279.2	0.109391124871001	1066
15.123447809	1201.2	0.0423116615067079	1001
15.149708374	1231.2	0.0681114551083591	1026
15.175968939	1242	0.0773993808049536	1035
15.202229504	1266	0.0980392156862745	1055
15.228490069	1312.8	0.13828689370485	1094
15.254750634	1251.6	0.0856553147574819	1043
15.281011199	1284	0.113519091847265	1070
15.307271764	1315.2	0.140350877192982	1096
15.333532329	1249.2	0.0835913312693498	1041
15.359792894	1273.2	0.104231166150671	1061
15.386053459	1266	0.0980392156862745	1055
15.412314024	1278	0.108359133126935	1065
15.438574589	1245.6	0.0804953560371517	1038
15.464835154	1255.2	0.0887512899896801	1046
15.491095719	1279.2	0.109391124871001	1066
15.517356284	1267.2	0.0990712074303405	1056
15.543616849	1246.8	0.0815273477812177	1039
15.569877414	1290	0.118679050567595	1075
15.596137979	1182	0.0257997936016512	985
15.622398544	1258.8	0.0918472652218782	1049
15.648659109	1261.2	0.0939112487100103	1051
15.674919674	1206	0.0464396284829721	1005
15.701180239	1286.4	0.115583075335397	1072
15.727440804	1290	0.118679050567595	1075
15.753701369	1232.4	0.0691434468524252	1027
15.779961934	1228.8	0.066047471620227	1024
15.806222499	1293.6	0.121775025799794	1078
15.832483064	1226.4	0.0639834881320949	1022
15.858743629	1213.2	0.0526315789473684	1011
15.885004194	1234.8	0.0712074303405573	1029
15.911264759	1255.2	0.0887512899896801	1046
15.937525324	1351.2	0.171310629514964	1126
15.963785889	1270.8	0.102167182662539	1059
15.990046454	1252.8	0.086687306501548	1044
16.016307019	1250.4	0.0846233230134159	1042
16.042567584	1262.4	0.0949432404540764	1052
16.068828149	1218	0.0567595459236326	1015
16.095088714	1212	0.0515995872033024	1010
16.121349279	1334.4	0.156862745098039	1112
16.147609844	1332	0.154798761609907	1110
16.173870409	1267.2	0.0990712074303405	1056
16.200130974	1227.6	0.065015479876161	1023
16.226391539	1293.6	0.121775025799794	1078
16.252652104	1260	0.0928792569659443	1050
16.278912669	1291.2	0.119711042311661	1076
16.305173234	1225.2	0.0629514963880289	1021
16.331433799	1267.2	0.0990712074303405	1056
16.357694364	1298.4	0.125902992776058	1082
16.383954929	1227.6	0.065015479876161	1023
16.410215494	1317.6	0.142414860681115	1098
16.436476059	1298.4	0.125902992776058	1082
16.462736624	1220.4	0.0588235294117647	1017
16.488997189	1238.4	0.0743034055727554	1032
16.515257754	1287.6	0.116615067079463	1073
16.541518319	1234.8	0.0712074303405573	1029
16.567778884	1311.6	0.137254901960784	1093
